timestamp_utc,frequency_hz,power_db_smoothed
2026-07-14T23:00:46.128620+00:00,1420584803,-69.74
2026-07-14T23:00:46.128620+00:00,1420586268,-69.782
2026-07-14T23:00:46.128620+00:00,1420587733,-69.742
2026-07-14T23:00:46.128620+00:00,1420589198,-69.745
2026-07-14T23:00:46.128620+00:00,1420590663,-69.752
2026-07-14T23:00:46.128620+00:00,1420592128,-69.709
2026-07-14T23:00:46.128620+00:00,1420593592,-69.757
2026-07-14T23:00:46.128620+00:00,1420595057,-69.802
2026-07-14T23:00:46.128620+00:00,1420596522,-69.811
2026-07-14T23:00:46.128620+00:00,1420597987,-69.757
2026-07-14T23:00:46.128620+00:00,1420599452,-69.75
2026-07-14T23:00:46.128620+00:00,1420600917,-69.78
2026-07-14T23:00:46.128620+00:00,1420602382,-69.776
2026-07-14T23:00:46.128620+00:00,1420603846,-69.741
2026-07-14T23:00:46.128620+00:00,1420605311,-69.78
2026-07-14T23:00:46.128620+00:00,1420606776,-69.765
2026-07-14T23:00:46.128620+00:00,1420608241,-69.737
2026-07-14T23:00:46.128620+00:00,1420609706,-69.788
2026-07-14T23:00:46.128620+00:00,1420611171,-69.764
2026-07-14T23:00:46.128620+00:00,1420612635,-69.843
2026-07-14T23:00:46.128620+00:00,1420614100,-69.813
2026-07-14T23:00:46.128620+00:00,1420615565,-69.815
2026-07-14T23:00:46.128620+00:00,1420617030,-69.834
2026-07-14T23:00:46.128620+00:00,1420618495,-69.783
2026-07-14T23:00:46.128620+00:00,1420619960,-69.858
2026-07-14T23:00:46.128620+00:00,1420621425,-69.882
2026-07-14T23:00:46.128620+00:00,1420622889,-69.756
2026-07-14T23:00:46.128620+00:00,1420624354,-69.817
2026-07-14T23:00:46.128620+00:00,1420625819,-69.807
2026-07-14T23:00:46.128620+00:00,1420627284,-69.8
2026-07-14T23:00:46.128620+00:00,1420628749,-69.805
2026-07-14T23:00:46.128620+00:00,1420630214,-69.779
2026-07-14T23:00:46.128620+00:00,1420631678,-69.867
2026-07-14T23:00:46.128620+00:00,1420633143,-69.872
2026-07-14T23:00:46.128620+00:00,1420634608,-69.834
2026-07-14T23:00:46.128620+00:00,1420636073,-69.881
2026-07-14T23:00:46.128620+00:00,1420637538,-69.891
2026-07-14T23:00:46.128620+00:00,1420639003,-69.901
2026-07-14T23:00:46.128620+00:00,1420640467,-69.863
2026-07-14T23:00:46.128620+00:00,1420641932,-69.798
2026-07-14T23:00:46.128620+00:00,1420643397,-69.747
2026-07-14T23:00:46.128620+00:00,1420644862,-69.792
2026-07-14T23:00:46.128620+00:00,1420646327,-69.829
2026-07-14T23:00:46.128620+00:00,1420647792,-69.856
2026-07-14T23:00:46.128620+00:00,1420649257,-69.834
2026-07-14T23:00:46.128620+00:00,1420650721,-69.835
2026-07-14T23:00:46.128620+00:00,1420652186,-69.873
2026-07-14T23:00:46.128620+00:00,1420653651,-69.87
2026-07-14T23:00:46.128620+00:00,1420655116,-69.815
2026-07-14T23:00:46.128620+00:00,1420656581,-69.847
2026-07-14T23:00:46.128620+00:00,1420658046,-69.854
2026-07-14T23:00:46.128620+00:00,1420659510,-69.878
2026-07-14T23:00:46.128620+00:00,1420660975,-69.916
2026-07-14T23:00:46.128620+00:00,1420662440,-69.869
2026-07-14T23:00:46.128620+00:00,1420663905,-69.932
2026-07-14T23:00:46.128620+00:00,1420665370,-69.955
2026-07-14T23:00:46.128620+00:00,1420666835,-69.903
2026-07-14T23:00:46.128620+00:00,1420668300,-69.93
2026-07-14T23:00:46.128620+00:00,1420669764,-69.873
2026-07-14T23:00:46.128620+00:00,1420671229,-69.918
2026-07-14T23:00:46.128620+00:00,1420672694,-69.925
2026-07-14T23:00:46.128620+00:00,1420674159,-69.894
